,Tweet,Subjectivity,Polarity,Score
0,"Respiratory syncytial virus, or RSV, is a common respiratory virus that is the leading cause of bronchiolitis and… ",0.5,-0.3,Negative
1,"As pioneers in asthma, we continue to push the boundaries of science. We’re joining leading experts at ATS2021 to… ",0.0,0.0,Neutral
2,"It takes innovation to transform healthcare experiences for patients, but innovation doesn’t happen in isolation. L… ",0.0,0.0,Neutral
3,Every day billions of people are trying to balance living their lives with the limitations posed by chronic disease… ,0.0,0.0,Neutral
4,An estimated 37 million people live with chronic kidneydisease in the US and up to 90% are undiagnosed. Routine te… ,0.5,0.13636363636363635,Positive
5,RSV is the leading cause of bronchiolitis and pneumonia cases in infants under one year of age and remains a leadi… ,0.0,0.0,Neutral
6,Severe asthma is a complex disease that can significantly impact patient health and present unique challenges to he… ,0.56875,0.1125,Positive
7,"To address the urgent crisis in India, we are pledging humanitarian aid that will provide oxygen concentrators, med… ",0.0,0.0,Neutral
8,Today on WorldLupusDay we’re recognising  and  who are working to MakeLupusVisible through g… ,0.0,0.0,Neutral
9,"The 5-year survival for stage 4, advanced metastatic ovarian cancer, is ~17%, a number that we’re committed to impr… ",0.6,0.4,Positive
10,"Despite advances in severeasthma care and what we know about their harmful side effects, oral corticosteroids (OCS… ",0.0,0.0,Neutral
11,"Targeted medicines that deliver chemotherapy agents to cancer cells, called antibody drug conjugates, are changing… ",0.0,0.0,Neutral
12,"With 5+ million people affected by lupus globally, there is an urgent need to continue advancing lupus science. We… ",0.0,0.0,Neutral
13,Over 1.5 billion people are living with chronic diseases worldwide. Our ambition in BioPharmaceuticals is to stop t… ,0.0,0.0,Neutral
14,"Our partnership with the  community will continue into 2021, supporting next-generation entrepreneurs to en… ",0.25,0.25,Positive
15,"It’s a common disease, but misconceptions about asthma persist. One is that patients prescribed blue reliever (SAB… ",0.3,-0.15,Negative
16,"RSV will affect approximately 90% of infants before their second birthday, and while symptoms will be mild for mos… ",0.3666666666666667,-0.022222222222222237,Negative
17,We’re advancing our knowledge to uncover eosinophilic immune dysfunction and its role in a wide range of inflammato… ,0.4,-0.1,Negative
18,"Managing hearfailure can feel daunting, but you don’t have to face it alone. Together with , we’ve c… ",0.0,0.0,Neutral
19,"Bladdercancer causes over 200,000 deaths per year, and patients remain in need of new therapies that improve long-… ",0.45454545454545453,0.13636363636363635,Positive
20,Strong scientific progress to improve the lives of patients remains a key priority for AstraZeneca – our 2021 Q1 re… ,0.8666666666666667,0.21666666666666665,Positive
21,"At a time that continues to challenge the world like never before, our commitment to advancing science for patients… ",0.0,0.0,Neutral
22,"One year ago this week, we joined forces with  to tackle COVID19. The world has changed significantly… ",0.0,0.0,Neutral
23,We are honoured to have recently been recognised in the TimesTop50 Employers for Women 2021 list and the  A… ,0.25,0.0,Neutral
24,Congrats to  who was elected to the  Board of Directors. Susan was featured in ’s… ,0.0,0.0,Neutral
25,"Skin diseases like atopic dermatitis, bullous pemphigoid and chronic spontaneous urticaria could be driven by eosin… ",0.9,0.6,Positive
26,Working in partnership with  we are addressing some of the challenges in target discovery by leveragi… ,0.0,0.0,Neutral
27,We are catalysing changes in the practice of medicine to transform the patient experience - helping to set new stan… ,0.45454545454545453,0.13636363636363635,Positive
28,Chronic kidneydisease (CKD) can have a significant impact on patients’ day-to-day lives. Through the CKD-Personal… ,0.875,0.375,Positive
29,Our new  paper describes the effect of an endothelial lipase neutralising monoclonal antibody as a novel… ,0.45454545454545453,0.13636363636363635,Positive
30,"Today, on EarthDay2021 and ahead of COP26, EVP Sustainability, Katarina Ageborg joined , … ",0.0,0.0,Neutral
31,"Interested in understanding how we’re unlocking the information hidden within the human genome, with the aim of dev… ",0.31111111111111106,0.02777777777777778,Positive
32,"Finding the right target is one of the most important decisions we make in drug discovery. , Henric Ols… ",0.6785714285714285,0.3952380952380952,Positive
33,Are your kidneys healthy? Chronic kidneydisease is often silent and unrecognisable in its early stages. Our new 1-… ,0.3386363636363636,0.18409090909090908,Positive
34,Working side-by-side with   to bring together leading expertise in drug discovery and disease underst… ,0.0,0.0,Neutral
